fam_id_0.50,fam_type,fam_name,clusters_in_fam,mibig_ids
1,known_family,fengycin,94,BGC0001095
2,unknown_family,u_Others_2,58,
3,unknown_family,u_RiPPs_3,42,
4,known_family,schizokinen,41,BGC0002683
5,unknown_family,u_PKSother_5,37,
6,unknown_family,u_Terpene_6,34,
7,unknown_family,u_Terpene_7,34,
8,known_family,petrobactin,33,BGC0000942
9,unknown_family,u_RiPPs_9,31,
10,unknown_family,u_RiPPs_10,31,
11,known_family,bacilysin;bacilysin,29,BGC0001184;BGC0000888
12,known_family,lichenysin;surfactin,25,BGC0000381;BGC0000433
13,known_family,bacillaene,21,BGC0001089
14,unknown_family,u_NRPS_14,20,
15,unknown_family,u_Terpene_15,20,
16,unknown_family,u_RiPPs_16,16,
17,unknown_family,u_PKSother_17,16,
18,unknown_family,u_Terpene_18,16,
19,unknown_family,u_Terpene_19,16,
20,known_family,subtilosin A,15,BGC0000602
21,known_family,koranimine,14,BGC0000377
22,known_family,geobacillin I;suicin 90-1330;nisin Z;nisin Q;entianin;subtilin;salivaricin D;nisin A;nisin U;ericin S,13,BGC0000515;BGC0001789;BGC0000538;BGC0000536;BGC0000506;BGC0000559;BGC0000549;BGC0000535;BGC0000537;BGC0000511
23,unknown_family,u_RiPPs_23,13,
24,known_family,pulcherriminic acid,13,BGC0002103
25,unknown_family,u_RiPPs_25,12,
26,unknown_family,u_NRPS_26,12,
27,unknown_family,u_NRPS_27,12,
28,unknown_family,u_PKSother_28,12,
29,unknown_family,u_Others_29,11,
30,unknown_family,u_NRPS_30,9,
31,known_family,SmbA;SmbB;haloduracin β;haloduracin α;lacticin 3147 A1;lacticin 3147 A2;BHT-Aα;BHT-Aβ;thusin;staphylococcin C55 α;staphylococcin C55 β;amyloliquecidin GF610,8,BGC0000552;BGC0000517;BGC0000520;BGC0000497;BGC0001391;BGC0000555;BGC0002663
32,known_family,polymyxin B;macolacin;pelgipeptin;octapeptin C4;polymyxin;colistin A;colistin B,8,BGC0001153;BGC0002653;BGC0000403;BGC0001715;BGC0000408;BGC0001192
33,unknown_family,u_NRPS_33,8,
34,known_family,macrolactin H;macrolactin B;macrolactin 1c;macrolactin E;macrolactin H,8,BGC0001383;BGC0000181
35,unknown_family,u_RiPPs_35,7,
36,unknown_family,u_RiPPs_36,7,
37,unknown_family,u_RiPPs_37,7,
38,known_family,difficidin,7,BGC0000176
39,unknown_family,u_Terpene_39,7,
40,unknown_family,u_PKS-NRP_Hybrids_40,7,
41,known_family,bacillopaline;staphylopine,6,BGC0002488;BGC0002487
42,known_family,plantazolicin;plantazolicin,6,BGC0000569;BGC0001173
43,unknown_family,u_PKSother_43,6,
44,known_family,thuricin;bovicin HJ50;suicin 3908;thermophilin 1277,5,BGC0000626;BGC0000498;BGC0001787;BGC0000561
45,unknown_family,u_RiPPs_45,5,
46,unknown_family,u_RiPPs_46,5,
47,unknown_family,u_RiPPs_47,5,
48,known_family,sporulation killing factor;subtilomycin,5,BGC0000601;BGC0000560
49,unknown_family,u_NRPS_49,5,
50,unknown_family,u_NRPS_50,5,
51,unknown_family,u_PKSother_51,5,
52,unknown_family,u_Others_52,4,
53,unknown_family,u_RiPPs_53,4,
54,unknown_family,u_RiPPs_54,4,
55,unknown_family,u_RiPPs_55,4,
56,unknown_family,u_RiPPs_56,4,
57,known_family,paenithipeptin,4,BGC0002701
58,unknown_family,u_RiPPs_58,4,
59,unknown_family,u_RiPPs_59,4,
60,known_family,cytolysin ClyLl;cytolysin ClyLs,4,BGC0000504
61,known_family,tridecaptin;tridecaptin M,4,BGC0000449;BGC0001843
62,unknown_family,u_NRPS_62,4,
63,unknown_family,u_PKSother_63,4,
64,unknown_family,u_Terpene_64,4,
65,unknown_family,u_Others_65,3,
66,known_family,ectoine,3,BGC0000852
67,known_family,huazacin,3,BGC0001887
68,known_family,pseudomycoicidin,3,BGC0001210
69,known_family,andalusicin A;andalusicin B;bacinapeptin,3,BGC0002111;BGC0002700
70,unknown_family,u_RiPPs_70,3,
71,unknown_family,u_RiPPs_71,3,
72,unknown_family,u_RiPPs_72,3,
73,unknown_family,u_RiPPs_73,3,
74,unknown_family,u_RiPPs_74,3,
75,known_family,sublancin 168,3,BGC0000558
76,unknown_family,u_RiPPs_76,3,
77,unknown_family,u_RiPPs_77,3,
78,unknown_family,u_RiPPs_78,3,
79,unknown_family,u_RiPPs_79,3,
80,unknown_family,u_RiPPs_80,3,
